5SS07.01,Social Studies,Economy,Occupations,
5SS07.02,Social Studies,Community,Education,Schools
5SS07.03,Social Studies,Economy,Agriculture,
5SS07.04,Social Studies,Economy,,
5SS07.05,Social Studies,Economy,,
5SS08.01,Social Studies,Arts,Visual Art,Painting
5SS08.02,Social Studies,Arts,Visual Art,Drawing
5SS08.03,Social Studies,Arts,Visual Art,Drawing
5SS08.04,Social Studies,Arts,Visual Art,Drawing
5SS08.05,Social Studies,Arts,Visual Art,Painting
5SS08.06,Social Studies,Arts,Visual Art,Painting
5SS08.07,Social Studies,Arts,Visual Art,Painting
5SS08.08,Social Studies,Arts,Visual Art,Painting
5SS08.09,Social Studies,Arts,Visual Art,Painting
5SS08.10,Social Studies,Arts,Visual Art,Paper
5SS08.11,Social Studies,Arts,Visual Art,Paper
5SS08.12,Social Studies,Arts,Visual Art,Paper
5SS08.13,Social Studies,Arts,Visual Art,Paper
5SS08.14,Social Studies,Arts,Visual Art,Sculpture
5SS08.15,Social Studies,Arts,Visual Art,Sculpture
5SS08.16,Social Studies,Arts,Visual Art,Sculpture
5SS08.17,Social Studies,Arts,Visual Art,Paper
5SS08.18,Social Studies,Arts,Visual Art,Paper
5SS08.19,Social Studies,Arts,Visual Art,Paper
5SS08.20,Social Studies,Arts,Visual Art,Paper
5SS08.21,Social Studies,Arts,Visual Art,Sculpture
5SS08.22,Social Studies,Arts,Visual Art,Sculpture
5SS08.23,Social Studies,Arts,Visual Art,Sculpture
5SS08.24,Social Studies,Arts,Visual Art,Sculpture
5SS08.25,Social Studies,Arts,Visual Art,Paper
5SS08.26,Social Studies,Arts,Visual Art,Paper
5SS08.27,Social Studies,Arts,Visual Art,Weaving
5SS08.28,Social Studies,Arts,Visual Art,Weaving
5SS09.01,Social Studies,Arts,Music,Vocal Music
5SS09.02,Social Studies,Arts,Music,Vocal Music
5SS09.03,Social Studies,Arts,Music,Vocal Music
5SS09.04,Social Studies,Arts,Music,Vocal Music
5SS09.05,Social Studies,Arts,Music,Vocal Music
