cl_lo	cl_hi	ch_id.0	nch_id.0	key1	key2	key3	key4	lang	src	ft	version	dn	ndn	id	grade	subject	oleID	thumb
2	2		2SF02.00	Social Studies	Community	Everyday Life		np	OLE	EP	2022	Electricity	विधुत	elc	grade2	science	scielc01	ePaath2022/images/activity-under-construction.png
2	2		2SF04.00	Social Studies	Community	Education		np	OLE	EP	2022	Primary care	प्राथमिक उपचार	fad	grade2	science	scifad01	ePaath2022/images/activity-under-construction.png
2	2		2SF04.00	Social Studies	Community	Education		np	OLE	EP	2022	Our Security	हाम्रो सुरक्षा	rti	grade2	science	scirti01	ePaath2022/images/thumb/science/thumnail_gr_2_our_safety01.png
2	2		2SF01.00	Social Studies	Community	Everyday Life	Family	np	OLE	EP	2022	Our Tools	हाम्रा उपकरण	sma	grade2	science	scisma01	ePaath2022/images/thumb/science/SM_Thumbnail_1.png
2	2		2SF01.00	Social Studies	Community	Everyday Life	Family	np	OLE	EP	2022	Diseases	रोग	dis	grade2	science	scidis01	ePaath2022/images/activity-under-construction.png
2	2		2SF02.00	Social Studies	Community	Everyday Life		np	OLE	EP	2022	Magnets	चुम्बक	mag	grade2	science	scimag01	ePaath2022/images/grade2/science/magnet1.png
2	2	2EN08.02		Language	English	Contexts	Describing	en	OLE	EP	2022	Can you guess		cyg	grade2	english	engcyg01	ePaath2022/images/activity-under-construction.png
2	2	2EN04.00		Language	English	Contexts	Describing	en	OLE	EP	2022	Rain and bow		rab	grade2	english	engrab01	ePaath2022/images/activity-under-construction.png
2	2	2EN02.00		Language	English	Contexts	Describing	en	OLE	EP	2022	Faster and Taller		fat	grade2	english	engfat01	ePaath2022/images/activity-under-construction.png
2	2		2N03	Language	Nepali	People		np	OLE	EP	2022	Let's sing the rhythm	लय हालेर गाऔँ	lhg	grade2	nepali	neplhg01	ePaath2022/images/activity-under-construction.png
2	2		2N08	Language	Nepali	Contexts	Possessions	np	OLE	EP	2022	Fun Fair	रमाइलो मेला	ram	grade2	nepali	nepram01	ePaath2022/images/thumb/nepali/thumbnail_ramailo_mela.png
2	2		2N05	Language	Nepali	People		np	OLE	EP	2022	Around Us	हाम्रो वरपर	hwp	grade2	nepali	nephwp01	ePaath2022/images/thumb/nepali/Thumbnailmain.png
3	3		3N01	Language	Nepali	People		np	OLE	EP	2022	Who are we?	हामी को हौ ? 	hkh	grade3	nepali	nephkh01	ePaath2022/images/activity-under-construction.png
3	3		3N02	Language	Nepali	Contexts	Activities	np	OLE	EP	2022	Talking	कुराकानी	krk	grade3	nepali	nepkrk01	ePaath2022/images/thumb/nepali/thumbnail_nepali-_3_kurakani02.png
3	3		3N11	Language	Nepali	People		np	OLE	EP	2022	Preparation for exams	परीक्षाको तयारी	paw	grade3	nepali	neppaw01	ePaath2022/images/activity-under-construction.png
3	3		3N09	Language	Nepali	Textbooks		np	OLE	EP	2022	Amazing Package	अचम्मको पोको	acp	grade3	nepali	nepacp01	ePaath2022/images/activity-under-construction.png
3	3		3N01	Language	Nepali	People		np	OLE	EP	2022	Gauri	गौरी	gur	grade3	nepali	nepgur01	ePaath2022/images/activity-under-construction.png
3	3	3M07.02	3M07.02	Mathematics	Arithmetic	Addition and Subtraction		en/np	OLE	EP	2022	Capacity	क्षमता	cap	grade3	math	matcap01	ePaath2022/images/thumb/math/thumbnail_math_gr03_capacity02.png
3	3	3M08.00	3M08.00	Mathematics	Measurement			en/np	OLE	EP	2022	Area	क्षेत्रफल	are	grade3	math	matare01	ePaath2022/images/thumb/math/Thumbnail_Math_Gr3_Area01.png
3	3	3M02.00	3M02.00	Mathematics	Numbers	Natural		en/np	OLE	EP	2022	Place value	स्थानमान	pvs	grade3	math	matpvs01	ePaath2022/images/grade3/maths/line_segment1.png
3	3	3M07.00	3M07.00	Social Studies	Arts	Media	Internet	en/np	OLE	EP	2022	Pictograph	चित्रग्राफ	pct	grade3	math	matpct01	ePaath2022/images/activity-under-construction.png
3	3	3M02.00	3M02.00	Mathematics	Numbers	Natural		en/np	OLE	EP	2022	Comparing and Arranging Numbers	सङ्ख्याको तुलना र क्रम	con	grade3	math	matcon01	ePaath2022/images/activity-under-construction.png
3	3	3M05.00	3M05.00	Mathematics	Arithmetic	"Addition, Subtraction, Multiplication, Division"		en/np	OLE	EP	2022	Subtraction	घटाउ	sub	grade3	math	matsub01	ePaath2022/images/activity-under-construction.png
3	3	3M05.00	3M05.00	Mathematics	Arithmetic	"Addition, Subtraction, Multiplication, Division"		en/np	OLE	EP	2022	Addition	जोड	add	grade3	math	matadd01	ePaath2022/images/activity-under-construction.png
3	3	3M01.01	3M01.01	Mathematics	Measurement	Date & Time		en/np	OLE	EP	2022	Time	समय	tim	grade3	math	mattim01	ePaath2022/images/activity-under-construction.png
3	3		3SF01.00	Social Studies	Community	Everyday Life	Family	np	OLE	EP	2022	My Role	मेरो भूमिका	mbh	grade3	science	scimbh01	ePaath2022/images/activity-under-construction.png
3	3		3SF10.00	Science	Earth			np	OLE	EP	2022	Water conservation	पानीको संरक्षण	cow	grade3	science	scicow01	ePaath2022/images/thumb/english/making-words-gr1-02.png
3	3		3SF03.00	Social Studies	Community	People		np	OLE	EP	2022	Smoking and Drinking	धुमपान र मध्यपान	sad	grade3	science	scisad01	ePaath2022/images/thumb/science/thumnail_gr3_smoking_and_drinking01.png
3	3		3SF07.00	Social Studies	Arts			np	OLE	EP	2022	Soil	माटो	sol	grade3	science	scisol01	ePaath2022/images/thumb/science/soil02.png
3	3		3SF01.00	Social Studies	Community	Everyday Life	Family	np	OLE	EP	2022	Shape and Size	आकार र आकृति	saf	grade3	science	scisaf01	ePaath2022/images/thumb/science/thumnail_gr3_shapes_and_sizes01.png
