ndn	ch_id	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	ft	fp	src
कक्षा ७ सुनाइ पाठ ४	7N04	7	7	np	Social Studies	History	People	Other People	कक्षा_७_सुनाइ_पाठ_४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ ५	7N05	7	7	np	Social Studies	Community	Sports	Exercise	कक्षा_७_सुनाइ_पाठ_५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ ६	7N06	7	7	np	Nepali	Contexts	Other		कक्षा_७_सुनाइ_पाठ_६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ ७	7N07	7	7	np	Social Studies	Beliefs	Other Beliefs	Humanism	कक्षा_७_सुनाइ_पाठ_७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ ८	7N08	7	7	np	Nepali	Contexts	People		कक्षा_७_सुनाइ_पाठ_८.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ ९	7N09	7	7	np	Nepali	Contexts	People		कक्षा_७_सुनाइ_पाठ_९.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १०	7N10	7	7	np	Social Studies	Community	Anthropology	Ethics	कक्षा_७_सुनाइ_पाठ_१०.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ ११	7N11	7	7	np	Nepali	Contexts	Ability		कक्षा_७_सुनाइ_पाठ_११.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १२	7N12	7	7	np	Social Studies	History	People	Other People	कक्षा_७_सुनाइ_पाठ_१२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १३	7N13	7	7	np	Social Studies	History	Nepal	Rights & Duties	कक्षा_७_सुनाइ_पाठ_१३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १४	7N14	7	7	np	Nepali	Contexts	Locations		कक्षा_७_सुनाइ_पाठ_१४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १५	7N15	7	7	np	Science	Earth	Climate	Season	कक्षा_७_सुनाइ_पाठ_१५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १६	7N16	7	7	np	Social Studies	Community	Anthropology	Ethics	कक्षा_७_सुनाइ_पाठ_१६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ७ सुनाइ पाठ १७	7N17	7	7	np	Social Studies	Community	Social Organization	Home	कक्षा_७_सुनाइ_पाठ_१७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 7 Listening Texts/	CEHRD
कक्षा ८ सुनाइ पाठ १	8N01	8	8	np	Language	Nepali	Contexts	Describing	कक्षा_८_सुनाइ_पाठ_१.mp3	audio	../content/audio/Nepali LIstening Files/Grade 8 Listening Texts/	CEHRD
कक्षा ८ सुनाइ पाठ २	8N02	8	8	np	Language	Nepali	Contexts	Narration	कक्षा_८_सुनाइ_पाठ_२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 8 Listening Texts/	CEHRD
कक्षा ८ सुनाइ पाठ ३	8N03	8	8	np	Language	Nepali	Contexts	People	कक्षा_८_सुनाइ_पाठ_३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 8 Listening Texts/	CEHRD
कक्षा ८ सुनाइ पाठ ४	8N04	8	8	np	Language	Nepali	Contexts	Conversation	कक्षा_८_सुनाइ_पाठ_४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 8 Listening Texts/	CEHRD
कक्षा ८ सुनाइ पाठ ५	8N05	8	8	np	Language	Nepali	Contexts	Identity	कक्षा_८_सुनाइ_पाठ_५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 8 Listening Texts/	CEHRD
कक्षा ८ सुनाइ पाठ ६	8N06	8	8	np	Language	Nepali	Contexts	Narration	कक्षा_८_सुनाइ_पाठ_६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 8 Listening Texts/	CEHRD
कक्षा ८ सुनाइ पाठ ७	8N07	8	8	np	Language	Nepali	Contexts	Conversation	कक्षा_८_सुनाइ_पाठ_७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 8 Listening Texts/	CEHRD
