ndn	ch_id	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	ft	fp	src
कक्षा ११ सुनाइ पाठ १	11N01	11	11	np	Language	Nepali	Song		कक्षा_११_सुनाइ_पाठ_१.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ २	11N02	11	11	np	Language	Nepali	Contexts	Wants	कक्षा_११_सुनाइ_पाठ_२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ३	11N03	11	11	np	Language	Nepali	Contexts	Identity	कक्षा_११_सुनाइ_पाठ_३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ४	11N04	11	11	np	Language	Nepali	Contexts	Narration	कक्षा_११_सुनाइ_पाठ_४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ५	11N05	11	11	np	Language	Nepali	Contexts	Conversation	कक्षा_११_सुनाइ_पाठ_५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ६	11N06	11	11	np	Language	Nepali	People		कक्षा_११_सुनाइ_पाठ_६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ७	11N07	11	11	np	Language	Nepali	Contexts	Locations	कक्षा_११_सुनाइ_पाठ_७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ८	11N08	11	11	np	Language	Nepali	Textbooks		कक्षा_११_सुनाइ_पाठ_८.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ९	11N09	11	11	np	Language	Nepali	Contexts	Describing	कक्षा_११_सुनाइ_पाठ_९.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ १०	11N10	11	11	np	Language	Nepali	Contexts	Conversation	कक्षा_११_सुनाइ_पाठ_१०.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ ११	11N11	11	11	np	Language	Nepali	Contexts	Locations	कक्षा_११_सुनाइ_पाठ_११.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा ११ सुनाइ पाठ १२	11N12	11	11	np	Language	Nepali	Contexts	Narration	कक्षा_११_सुनाइ_पाठ_१२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 11 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ १	12N01	12	12	np	Language	Nepali	Song		कक्षा_१२_सुनाइ_पाठ_१.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ २	12N02	12	12	np	Language	Nepali	Contexts	Narration	कक्षा_१२_सुनाइ_पाठ_२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ३	12N03	12	12	np	Language	Nepali	Contexts	Locations	कक्षा_१२_सुनाइ_पाठ_३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ४	12N04	12	12	np	Language	Nepali	Contexts	Conversation	कक्षा_१२_सुनाइ_पाठ_४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ५	12N05	12	12	np	Language	Nepali	Contexts	Identity	कक्षा_१२_सुनाइ_पाठ_५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ६	12N06	12	12	np	Language	Nepali	Contexts	Identity	कक्षा_१२_सुनाइ_पाठ_६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ७	12N07	12	12	np	Language	Nepali	Song	Narration	कक्षा_१२_सुनाइ_पाठ_७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ८	12N08	12	12	np	Language	Nepali	Contexts	Narration	कक्षा_१२_सुनाइ_पाठ_८.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ९	12N09	12	12	np	Language	Nepali	Contexts	Narration	कक्षा_१२_सुनाइ_पाठ_९.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ १०	12N10	12	12	np	Language	Nepali	Contexts	Possessions	कक्षा_१२_सुनाइ_पाठ_१०.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ ११	12N11	12	12	np	Language	Nepali	Contexts	Suggestions	कक्षा_१२_सुनाइ_पाठ_११.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
कक्षा १२ सुनाइ पाठ १२	12N12	12	12	np	Language	Nepali	Contexts	Reasons	कक्षा_१२_सुनाइ_पाठ_१२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 12 Listening Texts/	CEHRD
