	7SS09.04 साइबर अपराध र यसका प्रकार	7SS09.04					7	7	np	Social Studies	Issues	Other Issues			7SS09.04_साइबर_अपराध_र_यसका_प्रकार.json	game																					
	"7SS09.05 लक्षण, रोकथाम र तथ्यहरू"	7SS09.05					7	7	np	Social Studies	Issues	Solutions			7SS09.05_लक्षण_रोकथाम_र_तथ्यहरू.json	game																					
	7SS09.05 नोबेल शान्ति पुरस्कार २०२०	7SS09.05					7	7	np	Social Studies	Issues	Solutions			7SS09.05_नोबेल_शान्ति_पुरस्कार_२०२०.json	game																					
	5N01 द्रव्यवाचक र भाववाचक नाम	5N01					5	5	np	Language	Nepali	Grammar	Nouns		5N01_द्रव्यवाचक_र_भाववाचक_नाम.json	game																					
	"5N01 नामका प्रकार: व्यक्तिवाचक, जातिवाचक र समूहवाचक"	5N01					5	5	np	Language	Nepali	Grammar	Nouns		"5N01_नामका_प्रकार_व्यक्तिवाचक,_जातिवाचक_र_समूहवाचक.json"	game																					
	5N01 सर्वनाम	5N01					5	5	np	Language	Nepali	Grammar	Pronouns		5N01_सर्वनाम.json	game																					
	5N02 अनुकरणात्मक शब्द	5N02					5	5	np	Language	Nepali	Grammar	Vocabulary		5N02_अनुकरणात्मक_शब्द.json	game																					
	5N02 आपसमा मेलमिलाप र सहयोग	5N02					5	5	np	Language	Nepali	Grammar	Vocabulary		5N02_आपसमा_मेलमिलाप_र_सहयोग.json	game																					
	5N02 विशेषण	5N02					5	5	np	Language	Nepali	Grammar	Adjectives		5N02_विशेषण.json	game																					
	5N02 हाउभाउ कुराकानी	5N02					5	5	np	Language	Nepali	Grammar	Interjections		5N02_हाउभाउ_कुराकानी.json	game																					
	5N03 क्रियापद	5N03					5	5	np	Language	Nepali	Grammar	Verbs		5N03_क्रियापद.json	game																					
	5N03 सञ्चारका साधन	5N03					5	5	np	Language	Nepali	Grammar	Vocabulary		5N03_सञ्चारका_साधन.json	game																					
	5N04 क्रियायोगी	5N04					5	5	np	Language	Nepali	Grammar	Adverbs		5N04_क्रियायोगी.json	game																					
	5N04 नामयोगी	5N04					5	5	np	Language	Nepali	Grammar	Prepositions		5N04_नामयोगी.json	game																					
	5N05 अनुपात	5N05					5	5	np	Language	Nepali	Grammar	Adverbs		5N05_अनुपात.json	game																					
	5N05 श्रुतिसमभिन्नार्थक	5N05					5	5	np	Language	Nepali	Grammar	Homonyms		5N05_श्रुतिसमभिन्नार्थक.json	game																					
	5N05 संयोजक शब्द	5N05					5	5	np	Language	Nepali	Grammar	Conjunction		5N05_संयोजक शब्द.json	game																					
	5N06 समूहवाचक शब्द	5N06					5	5	np	Language	Nepali	Grammar	Nouns		5N06_समूहवाचक_शब्द.json	game																					
	5N09 वर्तमान काल	5N09					5	5	np	Language	Nepali	Grammar	Present		5N09_वर्तमान_काल.json	game																					
	5N10 भूतकाल	5N10					5	5	np	Language	Nepali	Grammar	Past		5N10_भूतकाल.json	game																					
	5N11 भान्जीलाई चिठि	5N11					5	5	np	Language	Nepali	Grammar	Sentence		5N11_भान्जीलाई_चिठि.json	game																					
	5N11 समावेशी शिक्षाका माध्यमहरू	5N11					5	5	np	Language	Nepali	Grammar	Vocabulary		5N11_समावेशी_शिक्षाका_माध्यमहरू.json	game																					
	5N12 पूर्ण र अपूर्ण पक्ष	5N12					5	5	np	Language	Nepali	Grammar	Perfect		5N12_पूर्ण_र_अपूर्ण_पक्ष.json	game																					
	5N12 सङ्खुवासभा र पर्यटन व्यवसाय	5N12					5	5	np	Language	Nepali	Grammar	Vocabulary		5N12_सङ्खुवासभा_र_पर्यटन_व्यवसाय.json	game																					
	5N13 विभक्ति	5N13					5	5	np	Language	Nepali	Grammar	Prepositions		5N13_विभक्ति.json	game																					
