Women singing Dohori	दोहोरी गाइरहेकी महिलाहरू	7SS02.05					5	10	both	Social Studies	Arts	Music	Performers	Women_singing_Dohori.jpg		image																					
Earrings	झुम्का	7SS02.05					5	10	both	Social Studies	Community	Everyday Life	Other Everyday Life	Earrings.jpg		image																					
Bangles	चुरा	7SS02.05					5	10	both	Social Studies	Community	Everyday Life	Other Everyday Life	Bangles.jpg		image																					
Necklace	हार	7SS02.05					5	10	both	Social Studies	Community	Everyday Life	Other Everyday Life	Necklace.jpg		image																					
Sel Roti	सेल रोटी	7SS02.06					5	10	both	Social Studies	Community	Everyday Life	Food	Sel_Roti.jpg		image																					
Dhido	ढिडो	7SS02.06					5	10	both	Social Studies	Community	Everyday Life	Food	Dhido.jpg		image																					
People holding Nepali Flag	नेपाली झण्डा बोकेका मानिसहरू	7SS02.07					5	10	both	Social Studies	Community	Everyday Life	Other Everyday Life	People_holding_Nepali_Flag.jpg		image																					
Celebrating Topi Diwas	टोपी दिवस मनाउँदै	7SS02.07	7SS03.01				5	10	both	Celebrating_Topi_Diwas.jpg	Community	Everyday Life	Celebrations	Celebrating_Topi_Diwas.jpg		image																					
	नेपाली वर्णमाला	7SS02.07					4	12	np	Language	Nepali	Other Nepali			नेपाली_वर्णमाला.jpg	image																					
Picture of Falgunanda	फाल्गुनन्दको फोटो	7SS02.08					5	10	both	Social Studies	History	People		Picture_of_Falgunanda.jpg		image																					
Shankhadhar Sakhwa	शंखधर साख्वा	7SS02.08					5	10	both	Social Studies	History	People		Shankhadhar_Sakhwa.jpg		image																					
	7SS02.08 योगमाया न्यौपाने	7SS02.08					7	7	np	Social Studies	History	People			7SS02.08_योगमाया_न्यौपाने.json	game																					
	7SS02.08 कवि विद्यापति	7SS02.08					7	7	np	Social Studies	History	People			7SS02.08_कवि_विद्यापति.json	game																					
	7SS02.08 योगी नरहरिनाथ	7SS02.08					7	7	np	Social Studies	History	People			7SS02.08_योगी_नरहरिनाथ.json	game																					
Draw and Color	चित्र बनाएर रङ्ग भर्नु	7SS02.09	5N13				5	10	both	Social Studies	Arts	Visual Arts	Color	Draw_and_Color.jpg		image																					
Population	जनसंख्या	7SS03.01					7	7	both	Social Studies	Economy	Other Economy	Population	Population.jpg		image																					
Representation of the People	जनताको प्रतिनिधित्व	7SS03.02					5	10	both	Social Studies	Community	Social Organization	Leaders	Representation_of_the_People.jpg		image																					
	7SS03.03 संविधानको परिचय	7SS03.03	7SS03.01				7	7	np	Social Studies	Community	Social Organization	Laws		7SS03.03_संविधानको_परिचय.json	game																					
	7SS03.04 मानव अधिकार तथा मौलिक हक	7SS03.04					7	7	np	Social Studies	Issues	Human Rights	Other Human Rights		7SS03.04_मानव_अधिकार_तथा_मौलिक_हक.json	game																					
National Human Rights Commission	राष्ट्रिय मानव अधिकार आयोग	7SS03.04					6	9	both	Social Studies	Issues	Human Rights	Other Human Rights	National_Human_Rights_Commission.jpg		image																					
	7SS03.04 मानव अधिकार संस्था	7SS03.04					7	7	np	Social Studies	Issues	Human Rights	Other Human Rights		7SS03.04_मानव_अधिकार_संस्था.json	game																					
Political Participation and Leadership	राजनीतिक सहभागीता र नेतृत्व	7SS03.05					5	10	both	Social Studies	Community	Social Organization	Leaders	Political_Participation_and_Leadership.jpg		image																					
Employment Opportunities	रोजगार अवसरहरू	7SS03.05					6	9	both	Social Studies	Community	Social Organization	Work	Employment_Opportunities.jpg		image																					
"Police, Peace and Security Management"	"प्रहरी, शान्ति र सुरक्षा व्यवस्थापन"	7SS03.06	7SS04.03				5	10	both	Social Studies	Community	Peace	Other Peace	Police_Peace_and_Security_Management.jpg		image																					
Education Management	शिक्षा व्यवस्थापन	7SS03.06					5	10	both	Social Studies	Community	Education	Other Education	Education_Management.jpg		image																					
Health Management	स्वास्थ्य व्यवस्थापन	7SS03.06					5	10	both	Social Studies	Community	Social Organization	Health Care	Health_Management.jpg		image																					
	7SS03.06 प्रदेश व्यवस्थापिका	7SS03.06					7	7	np	Social Studies	Community	Government	Other Government		7SS03.06_प्रदेश_व्यवस्थापिका.json	game																					
	7SS03.06 प्रदेश कार्यपालिका	7SS03.06					7	7	np	Social Studies	Community	Government	Other Government		7SS03.06_प्रदेश_कार्यपालिका.json	game																					
Nepal Army	नेपाल सेना	7SS03.07					5	10	both	Social Studies	Issues	Solutions		Nepal_Army.jpg		image																					
Armed Police Force of Nepal	नेपालको सशस्त्र प्रहरी बल	7SS03.07					5	10	both	Social Studies	Issues	Solutions		Armed_Police_Force_of_Nepal.jpg		image																					
	7SS04.01 समाजिक भेदभाव गर्न नहुने कारणहरू	7SS04.01					7	7	np	Social Studies	Issues	Other Issues			7SS04.01_सामाजिक_भेदभाव_गर्न_नहुने_कारणहरू.json	game																					
	7SS04.01 सभ्य समाज र यसको निर्माणका बाधाहरू	7SS04.01					7	7	np	Social Studies	Issues	Other Issues			7SS04.01_सभ्य_समाज_र_यसको_निर्माणका_बाधाहरू.json	game																					
	7SS04.05 द्वन्द्व व्यवस्थापन	7SS04.05					7	7	np	Social Studies	Issues	Solutions			7SS04.05_द्वन्द्व_व्यवस्थापन.json	game																					
	7SS04.05 विद्यालय र छरछिमेकमा द्वन्द्वका कारणहरू	7SS04.05					7	7	np	Social Studies	Issues	Other Issues			7SS04.05_विद्यालय_र_छरछिमेकमा_द्वन्द्वका_कारणहरू.json	game																					
	7SS04.06 शान्ति स्थापना	7SS04.06					7	7	np	Social Studies	Issues	Solutions			7SS04.06_शान्ति_स्थापना.json	game																					
	7SS05.03 मध्यकालीन नेपालको राजनीतिक अवस्था	7SS05.03					7	7	np	Social Studies	History	Nepal	Other Nepal		7SS05.03_मध्यकालीन_नेपालको_राजनीतिक_अवस्था.json	game																					
	7SS05.04 एसियाको तारा: गौतम बुद्ध	7SS05.04					7	7	np	Social Studies	Beliefs	Religion	Buddhism		7SS05.04_एसियाको_तारा_गौतम_बुद्ध.json	game																					
	7SS05.05 अरनिकोलाई चिन्‍नुहोस्	7SS05.05					7	7	np	Social Studies	Arts	People			7SS05.05_अरनिकोलाई_चिन्‍नुहोस्.json	game																					
	7SS05.06 दिव्य उपदेश	7SS05.06					7	7	np	Social Studies	Beliefs	Religion	Buddhism		7SS05.06_दिव्य_उपदेश.json	game																					
	7SS05.07 सिँजा राज्यको भौगोलिक अवस्थिति	7SS05.07					7	7	np	Social Studies	History	Nepal	Other Nepal		7SS05.07_सिँजा_राज्यको_भौगोलिक_अवस्थिति.json	game																					
	7SS05.07 सिँजा सभ्यताबाट वर्तमान समाजमा परेको प्रभाव	7SS05.07					7	7	np	Social Studies	History	Nepal	Other Nepal		7SS05.07_सिँजा_सभ्यताबाट_वर्तमान_समाजमा_परेको_प्रभाव.json	game																					
	7SS06.05 नेपाल सरकारको आय र खर्च	7SS06.05					7	7	np	Social Studies	Community	Government	Other Government		7SS06.05_नेपाल_सरकारको_आय_र_खर्च.json	game																					
	7SS06.05 सरकारी आय र स्रोतहरू	7SS06.05					7	7	np	Social Studies	Community	Government	Other Government		7SS06.05_सरकारी_आय_र_स्रोतहरू.json	game																					
	7SS07.02 मुख्य धरातलीय स्वरूपहरू	7SS07.02					7	7	np	Science	Earth	Geology			7SS07.02_मुख्य_धरातलीय_स्वरूपहरू.json	game																					
	7SS07.04 हावापानीले मानव जीवनमा पार्ने प्रभाव	7SS07.04					7	7	np	Social Studies	Geography	Landforms			7SS07.04_हावापानीले_मानव_जीवनमा_पार्ने_प्रभाव.json	game																					
	7SS07.05 उचाइअनुसार तापक्रममा फरक	7SS07.05					7	7	np	Social Studies	Geography	Landforms			7SS07.05_उचाइ_अनुसार_तापक्रममा_फरक.json	game																					
	7SS07.07 नेपालका सात प्रदेश	7SS07.07					7	7	np	Social Studies	Community	Government	Other Government		7SS07.07_नेपालका_सात_प्रदेश.json	game																					
	7SS07.08 जलवायु परिवर्तन	7SS07.08	8SS07.03				7	8	np	Science	Earth	Human Impact	Other Human Impact		7SS07.08_जलवायु_परिवर्तन.json	game																					
	7SS07.09 विपत् व्यवस्थापन: हिउँ पहिरो	7SS07.09					7	7	np	Science	Earth	Human Impact	Other Human Impact		7SS07.09_विपत्_व्यवस्थापन_हिउँ_पहिरो.json	game																					
	7SS07.10 नक्साको अध्ययन	7SS07.10					7	7	np	Social Studies	Geography	Maps			7SS07.10_नक्साको_अध्ययन.json	game																					
	7SS09.02 सार्कमा नेपालको भूमिका	7SS09.02					7	7	np	Social Studies	Geography	Asia	Nepal		7SS09.02_सार्कमा_नेपालको_भूमिका.json	game																					
	7SS09.02 सार्कको कार्य क्षेत्र	7SS09.02					7	7	np	Social Studies	Geography	Asia	Nepal		7SS09.02_सार्कको_कार्य_क्षेत्र.json	game																					
	7SS09.03 अनलाइन सेवा	7SS09.03					7	7	np	Science	IT	Internet			7SS09.03_अनलाइन_सेवा.json	game																					
	7SS09.04 साइबर अपराधबाट जोगिने उपाय	7SS09.04					7	7	np	Social Studies	Issues	Solutions			7SS09.04_साइबर_अपराधबाट_जोगिने_उपाय.json	game																					
