addition	जोड
triangle	 त्रिभुज
trousers	सुरुवाल
try	कोशिश गर्नु
tub	बाटा 
tumbler	गिलास
underwear	कट्टु

uproot	उखेल्नु 
use	प्रयोग गर्नु
utensils	भाँडाकुडा
verb	क्रिया 
vertex	 शीर्षबिन्दु
vest	गन्जी
volume	आयतन
waistband	पटुकी
wait	पर्खनु 
walk	हिड्नु
wash	धुनु
watch	हेर्नु
water pot	गाग्री
wedding	विवाह, विवाह गर्नु
weight	तौल
win	जित्नु
window	झ्याल 
wipe	पुछ्नु
wring	निमोठ्नु
write	लेख्नु
action verb	क्रिया
adjective	विशेषण 
Afganistan	अफगानिस्तान
Africa	अफ्रिका
America	 अमेरिका
answer	उत्तर
Antarctica	अन्टार्कटिका
antonym	विपरीतार्थक
Argentina	अर्जेन्टिना
Asia	एशिया
Australia	अष्ट्रेलिया
Bagmati	बागमती
Bahrabise	 बाह्रविस
Balaju	बालाजु
Banepa	बनेपा
Bangladesh	बंगलादेश
Belgium	बेल्जियम
Bhairahawa	 भैरहवा
Bhaisipati	 भैंसी पाटी
Bheri	 भेरी
Bhutan	भुटान
Biratnagar	विराटनगर
Birgunj	वीरगञ्ज
boss	हाकिम
Boudhanath	बौद्धनाथ
boy	केटा
Brazil	ब्राजिल
Britain	बेलायत
businessman	व्यवसायी
Butwal	 बुटवल
by whom	कसले 
Canada	क्यानाडा
carpenter	काष्ठकार्य,सिकर्मी
case ending	विभक्ति
Charikot	चरिकोट 
Chautara	चौतारा
China	चीन
companion	 मित
complex sentence	मिश्र वाक्य
compound sentence	संयुक्त वाक्य
compound word	समास
continent	महादेश
country	देश
couple	दम्पती
Damak	दमक
Denmark	डेनमार्क
deputy mayor	उपमेयर, उपप्रमुख
Dhangadi	धनगढी
Dharan	 धरान
Dhaulagiri	धौलागिरी
Dhulikhel	धुलिखेल
director	निर्देशक
district	जिल्ला
doctor	चिकित्सक
driver	 चालक
enemy	 शत्रु, दुश्मन
engineer	इन्जिनियर
Europe	युरोप
facilitator	सहजकर्ता
federal	संघिय
female	महिला
feminine	स्त्रीलिङ्ग
film	चलचित्र
first person	प्रथम पुरुष
foreigner	विदेशी
founder	संस्थापक
France	 फ्रान्स
friend	मित्र, साथी
future	भविष्य
Gandaki	 गण्डकी
gender	लिङ्ग
general	सेनापति
Germany	जर्मनी
girl	केटी
Godawari	गोदावरी
grammar	व्याकरण
guard	चौकीदार
Hongkong	हङकङ
how much, how many	कति 
how	कसरी
house 	घर
human	मानिस 
imperfect	अपूर्ण
India	भारत
international	अन्तर्राष्ट्रिय
interrogative	प्रश्नार्थक 
Italy	इटाली
Janakpur	 जनकपुर
Japan	जापान
Jiri	 जिरी
journalist	पत्रकार
judge	न्यायधीश
Karnali	कर्णाली
Kathmandu	काठमाडौं
Korea	कोरिया
Koshi	कोशी
Krishna mandir	कृष्णमन्दिर
Kritipur	किर्तीपुर 
Lalitpur	ललितपुर
landlord	घरधनी
lawyer	वकिल
letter alphabet	वर्ण
local	 स्थानीय
location	स्थान
long (vowel)	दीर्घ
Lumbini	लुम्विनी
Machhapuchhre	माछापुच्छे
Madhesh	 मधेश
Mahakali	महाकाली
Mahendranagar	महेन्द्रनगर
Malaysia	मलेसिया
Maldives	माल्दिभ्स
male	 पुुरुष
manager	 प्रबन्धक
mason	 डकर्मी
mayor	 मेयर, प्रमुख
Mechi	 मेची
Melamchi	मेलम्ची
member	सदस्य
metropolitan city	महानगरपालिका
monk	  भिक्षु
municipality	नगरपालिका
Namobuddha	नमोबुद्ध
Narayangarh	नारायणगढ
Narayani	नारायणी
national	 राष्ट्रिय
neighbor	छिमेकी
Nepal	नेपाल
Nepalgunj	 नेपालगन्ज
Netherlands	नेदरल्याण्ड
New Baneshwor	 नयाँ बानेश्वर
North America	उत्तर अमेरिका
Norway	नर्वे
noun	नाम 
number	 वचन
object	कर्म
occupation	पेशा
Pakistan	पाकिस्तान
Panauti	पनौती
Panchkhal	 पाँचखाल
Pashupatinath	 पशुपतिनाथ
past	भूत 
perfect	पूर्ण
plural	बहुवचन
Pokhara	 पोखरा
police	प्रहरी
porter	 भरिया, कुल्ली
postposition	नामयोगी
prefix	उपसर्ग 
present	वर्तमान 
president	 अध्यक्ष
priest	 पुजारी
printer	मुद्रक
pronoun	सर्वनाम
public	जनता
publisher	प्रकाशक
Qatar	कतार
question	प्रश्न
Rajbiraj	 राजविराज
Rapti	राप्ती
rural municipality	गाउँपालिका
Russia	 रूस
SAARC	 सार्क राष्ट्र
Sagarmatha	सगरमाथा
sage	ऋषि
scholar	विद्धान
scout	 स्काउट
second person	द्वितीय पुरुष
secretary	 सचिव
Seti	सेती
shaman	 झाँक्री
short (vowel)	ह्रस्व
simple sentence	सरल वाक्य
Singapore	 सिङ्गापुर
singular	एकवचन 
South America	 दक्षिण अमेरिका
Srilanka	श्रीलंका
subject	कर्ता
sub-Metropolitan city	उपमहानगरपालिका
Sudurpashchim	सुदूरपश्चिम
suffix	प्रत्यय
Sweden	 स्वीडेन
Switzerland	स्विट्जरल्याण्ड
Swoyambhu	स्वयम्भू
synonym	पर्यायवाची समानार्थी 
Tatopani	तातोपानी
teacher	शिक्षक
tense	काल 
Thailand	 थाइल्याण्ड
Thamel	ठमेल
third person	तृतीय पुरुष
translator	दोभाषे, अनुवादक
unemployed	 बेरोजगार
verb base	धातु
verb	क्रियापद
vice president	उपाध्यक्ष
volunteer	स्वयंसेवक
ward	 वडा
what kind of	कस्तो
what	के?
when	कहिले?
which	कुन?
who	को?
whom	कसलाई?
why	किन?
writer	लेखक
zone	अञ्चल
a lot	धेरै
abscess	पिलो
Achham	अछाम
AIDS	एड्स
alright	हुन्छ
antonym	विपरितार्थ
apple	स्याउ
Arghakhanchi	 अर्घाखाँची
aunt	काकी
bad	खराब, नराम्रो
Baglung	बागलुङ
Baitadi	 बैतडी
Bajhang	 बझाङ 
Bajura	बाजुरा
banana	केरा
Banke	बाँके 
Bara	बारा
Bardiya	बर्दिया 
bayberry	काफल
beans	सिमी
Bhaktapur	भक्तपुर
Bhojpur	भोजपुर
biscuits	बिस्कुट
bitter gourd	करेला
bitter	 तितो
black	 कालो
blue	नीलो 
bottle gourd	लौका
boxing	बक्सिङ, मुक्केबाज
bread	पाउरोटी
brinjal	 भन्टा
broad beans	 बकुला
brother-in-law	 भिनाजु
brother's daughter	भतिजी
brother's son	भतिज
brown	खैरो
burger	बर्गर
buttermilk	मोही
cabbage	बन्दागोभी
cake	 केक
cancer	 क्यान्सर
cashew nut	 काजु
cauliflower	काउली
chargeable	 सशुल्क
chatamari	चटामरी 
chayote	इस्कुस
